chi_name	raw_id	id	eng_name	eng_name_v3
滴虫	2	8	TRICH	TRICH
念珠菌	3	9	FUNGI	FUNGI
细菌性阴道病	4	10	CC	CC
放线菌	5	11	ACTINO	ACTINO
疱疹病毒感染	6	12	HSV	HSV
子宫内膜细胞	7	7	EC	EC
LSIL	8	2	LSIL	LSIL
HSIL	9	4	HSIL	HSIL
ASC-US	10	1	ASCUS	ASCUS
ASC-H	11	3	ASCH	ASCH
SCC	12	5	SCC	SCC
AGC-NOS	13	6	AGC	AGC_NOS
AGC-FN	14	6	AGC	AGC_FN
AIS	15	6	AGC	AGC
ADC	16	6	AGC	AGC
AGC	1010	6	AGC	AGC
不明分类	29	-1	NONE	NONE
修复细胞	34	0	NILM	MP_RC
化生细胞	35	0	NILM	MP_RC
萎缩性改变	36	0	NILM	NILM
糖原溶解细胞	37	0	NILM	NILM
宫颈管细胞	38	0	NILM	ECC
深染细胞团	39	0	NILM	NILM
其他正常细胞	40	0	NILM	NILM
巨细胞病毒感染	42	-1	NONE	NONE
其他外来微生物	43	-1	NONE	NONE
小细胞癌	47	-1	NONE	NONE
恶性黑色素瘤	49	-1	NONE	NONE
其他及转移性恶性肿瘤	50	-1	NONE	NONE
多核巨细胞	69	-1	NONE	NONE
非典型颈管腺细胞	71	6	AGC	AGC
非典型子宫内膜细胞	72	-	-	-
颈管腺癌	73	6	AGC	AGC
子宫内膜腺癌	74	6	AGC	AGC
